Location,Date,Time,T2M,T2M_MIN, ,T2MDEW,PRECTOTCORR,RH2M,GWETPROF,GWETROOT,GWETTOP
Seattle,2019,1,0.210000,85.620000,2.220000,-1.080000,6.990000,-0.060000,0.680000,0.590000,0.620000
Seattle,2019,2,2.550000,87.690000,3.300000,-0.220000,5.840000,1.400000,0.680000,0.590000,0.620000
Seattle,2019,3,21.770000,91.190000,7.970000,6.030000,9.760000,6.630000,0.690000,0.600000,0.690000
Seattle,2019,4,5.040000,92.880000,7.820000,6.410000,9.720000,6.740000,0.700000,0.620000,0.660000
Seattle,2019,5,4.270000,88.690000,7.260000,5.540000,10.990000,5.510000,0.700000,0.620000,0.660000
Seattle,2019,6,8.100000,93.560000,4.280000,1.900000,6.760000,3.330000,0.700000,0.610000,0.660000
Seattle,2019,7,1.560000,95.440000,2.490000,0.200000,5.480000,1.830000,0.700000,0.610000,0.650000
Seattle,2019,8,4.850000,85.750000,3.820000,1.010000,5.500000,1.630000,0.700000,0.610000,0.660000
Seattle,2019,9,11.760000,91.750000,6.570000,4.250000,8.310000,5.330000,0.700000,0.620000,0.680000
Seattle,2019,10,4.380000,95.250000,7.920000,6.020000,10.320000,7.220000,0.710000,0.620000,0.670000
Seattle,2019,11,0.060000,78.440000,7.710000,5.690000,12.560000,4.170000,0.710000,0.620000,0.650000
Seattle,2019,12,0.000000,77.120000,7.370000,4.070000,12.720000,3.580000,0.710000,0.610000,0.640000
Seattle,2019,13,0.010000,87.120000,4.390000,0.650000,11.400000,2.340000,0.710000,0.610000,0.640000
Seattle,2019,14,0.010000,84.750000,3.450000,-0.290000,10.280000,1.120000,0.710000,0.610000,0.640000
Seattle,2019,15,0.000000,71.060000,3.980000,1.350000,9.490000,-0.800000,0.710000,0.600000,0.640000
Seattle,2019,16,0.470000,73.940000,5.370000,2.290000,10.720000,1.050000,0.710000,0.600000,0.630000
Seattle,2019,17,7.640000,88.120000,7.080000,4.350000,9.920000,5.250000,0.710000,0.610000,0.660000
Seattle,2019,18,10.890000,94.880000,6.630000,5.260000,7.870000,5.880000,0.710000,0.620000,0.670000
Seattle,2019,19,4.240000,95.940000,6.850000,4.240000,9.050000,6.260000,0.720000,0.620000,0.670000
Seattle,2019,20,0.090000,95.880000,4.010000,2.260000,5.870000,3.450000,0.720000,0.620000,0.650000
Seattle,2019,21,0.150000,89.750000,3.890000,1.940000,7.730000,2.280000,0.720000,0.620000,0.650000
Seattle,2019,22,17.520000,93.690000,5.230000,3.260000,8.910000,4.310000,0.720000,0.620000,0.700000
Seattle,2019,23,9.210000,94.120000,7.730000,5.940000,9.760000,6.830000,0.730000,0.650000,0.700000
Seattle,2019,24,0.740000,91.810000,6.260000,5.050000,7.830000,5.000000,0.730000,0.640000,0.660000
Seattle,2019,25,0.020000,90.880000,4.900000,2.070000,8.730000,3.470000,0.730000,0.630000,0.660000
Seattle,2019,26,0.010000,94.380000,4.330000,0.980000,7.810000,3.630000,0.730000,0.620000,0.660000
Seattle,2019,27,0.250000,95.190000,4.100000,2.460000,6.400000,3.420000,0.730000,0.620000,0.660000
Seattle,2019,28,0.000000,87.440000,3.700000,0.070000,9.050000,1.710000,0.730000,0.620000,0.660000
Seattle,2019,29,0.000000,78.310000,4.270000,0.800000,11.100000,0.620000,0.730000,0.620000,0.650000
Seattle,2019,30,0.000000,80.940000,5.350000,1.950000,10.270000,2.170000,0.730000,0.620000,0.650000
Seattle,2019,31,0.180000,84.000000,6.090000,2.360000,10.630000,3.480000,0.730000,0.620000,0.650000
Seattle,2019,32,11.020000,95.560000,7.250000,5.540000,9.830000,6.600000,0.730000,0.620000,0.690000
Seattle,2019,33,1.390000,95.000000,5.790000,3.100000,8.890000,5.020000,0.730000,0.630000,0.660000
Seattle,2019,34,3.160000,87.000000,1.960000,-1.080000,3.760000,-0.080000,0.730000,0.630000,0.660000
Seattle,2019,35,5.470000,87.250000,-2.440000,-4.940000,-0.570000,-4.470000,0.730000,0.620000,0.660000
Seattle,2019,36,0.190000,77.190000,-3.030000,-5.600000,1.060000,-6.700000,0.730000,0.620000,0.660000
